Municipality ID,Municipality,Year,Worked Hours Week,Worked Days Week,Monthly Wage,Number of Records
26019,Cananea,2015,29.8091260701826,3.4769588836088356,4026.2464456818557,385
26019,Cananea,2016,24.46211088984383,2.940847880686472,3783.8140345565143,525
26019,Cananea,2017,24.38513737981709,2.8691032205112172,4388.925994684593,482
26019,Cananea,2018,26.87006548521958,3.2250360723667173,3983.8140099522734,381
26019,Cananea,2019,24.88320710040614,2.917726448281089,4032.5232995144083,334
26019,Cananea,2020,21.837039927168682,2.534319757495723,4409.527296737597,181
26019,Cananea,2021,33.9147771696638,4.348240813135262,5274.281469898358,18
26021,La Colorada,2013,25.625694873378627,3.173023471278567,2904.034151739757,122
26021,La Colorada,2014,26.14691363548238,3.4944148658523853,3926.536769421204,161
26021,La Colorada,2015,24.156151165907264,3.1076029661395514,3131.136531760922,151
26023,Cumpas,2013,24.037014304468656,3.0124801800419414,2554.0591274103626,424
26023,Cumpas,2014,23.838735839677682,3.0969050048400177,3139.945713313973,198
26023,Cumpas,2015,22.760705457946422,2.897240964660298,2957.4666978422074,151
26025,Empalme,2013,27.920064825850144,3.352615867853284,3347.379754731062,513
26025,Empalme,2014,33.11674743143257,3.6681993381833506,3672.919119560772,386
26025,Empalme,2015,27.697202277791533,3.3611537509284477,2970.4204753651893,545
26025,Empalme,2016,26.55236489018814,3.246488269245184,3189.569849836344,761
26025,Empalme,2017,24.634186844102558,3.020963038627687,3008.975070903976,696
26025,Empalme,2018,24.481867509567767,3.0303750367041973,3206.8543750169642,832
26025,Empalme,2019,24.86756435071281,3.1228643244743757,3278.697022127747,507
26025,Empalme,2020,22.079180100381784,2.6517981042065077,3165.163386193708,228
26025,Empalme,2021,23.351614760622535,2.9153979463383517,3247.335351431297,758
26025,Empalme,2022,25.354743181141036,3.1293438907899134,3108.3320271941784,213
26026,Etchojoa,2013,21.302959942149045,2.7507391246599533,1475.4564174713819,560
26026,Etchojoa,2014,21.34331703913415,2.7356690579974576,1684.3756701808136,545
26026,Etchojoa,2015,21.740663647978028,2.8710292801209794,1566.3958813151285,476
26026,Etchojoa,2016,21.29843686961896,2.8597732130441127,1567.3767736508237,241
26026,Etchojoa,2017,27.571791981325006,3.5280573817100787,2851.458514978901,234
26026,Etchojoa,2018,24.071304902806162,3.1195657339950977,2260.3586700433857,269
26026,Etchojoa,2019,22.258444893847702,2.833562734046398,2779.6123653392183,523
26026,Etchojoa,2020,21.123811859530974,3.0311667307411874,2835.3779711797224,452
26026,Etchojoa,2021,21.339966553592,2.8723927509511915,2393.0220511469834,632
26026,Etchojoa,2022,19.990307956854775,2.491493408368506,2630.986569225158,193
26029,Guaymas,2013,24.682333760102424,3.053612867088101,3397.116171214425,839
26029,Guaymas,2014,24.332598328438085,2.9927992489168727,3349.4919221239343,667
26029,Guaymas,2015,23.645464301945474,3.0444863630639163,3280.989979685592,735
26029,Guaymas,2016,24.430091570081935,3.0828805179853767,3229.898011422786,952
26029,Guaymas,2017,25.870769175940904,3.2492629778269677,4064.7638539379454,899
26029,Guaymas,2018,25.300448430493272,3.1952861372590244,3842.931024082889,1013
26029,Guaymas,2019,26.685524475524474,3.3280052447552446,3788.0029055944055,1022
26029,Guaymas,2020,19.056639667028737,2.3949665102554274,2782.294963928775,830
26029,Guaymas,2021,25.437656313104178,3.160535179016714,3407.8782712280145,1071
26029,Guaymas,2022,25.99342723297744,3.282756941821961,3878.4971177823622,625
26030,Hermosillo,2013,24.480670968072086,3.0991454048452645,3391.4521627142353,19545
26030,Hermosillo,2014,24.975023982703068,3.1350390965290678,3763.3789031980436,19600
26030,Hermosillo,2015,24.71438681244173,3.1464865666581914,3640.443228663446,19176
26030,Hermosillo,2016,25.515356933928558,3.243447433707476,3627.347717543718,19112
26030,Hermosillo,2017,24.828634725214194,3.182207794015208,3524.9964591968956,19685
26030,Hermosillo,2018,25.01573279905797,3.190756504292103,3639.2817526129675,19184
26030,Hermosillo,2019,24.77722676625475,3.1410723626757844,3925.8720257612385,19375
26030,Hermosillo,2020,22.459595906306696,2.9066594114097457,3829.0639889543236,12717
26030,Hermosillo,2021,24.116096903988282,3.0917214094513374,4125.403017222512,19239
26030,Hermosillo,2022,23.61035766315824,2.994206020526755,4042.1003100293005,9626
26032,Huásabas,2017,24.598446263941717,3.2099477789955517,2917.5704338856294,74
26032,Huásabas,2018,20.801651621971843,2.9617842788429862,2098.844545474512,101
26033,Huatabampo,2013,20.84279367310043,2.8251246129861003,1373.571821728406,400
26033,Huatabampo,2014,19.526799038085212,2.5520942994619054,1549.9768290717607,1070
26033,Huatabampo,2015,20.520909059398505,2.7078023361948445,2038.7920855911543,1005
26033,Huatabampo,2016,23.18739314316566,2.8869014994723625,1932.1511170373765,599
26033,Huatabampo,2017,24.27143388567289,3.041487466308157,2246.0410045227018,367
26033,Huatabampo,2018,23.49782007051598,2.9891277333367032,2337.0745936063827,559
26033,Huatabampo,2019,20.639036309898156,2.669161568730782,2395.306378282172,885
26033,Huatabampo,2020,17.967306520890276,2.2265927372120267,1804.8562030456853,536
26033,Huatabampo,2021,19.92794486583668,2.551711779463347,1983.76258056556,953
26033,Huatabampo,2022,23.008027829810008,2.9465970921416464,2854.939978592454,545
26035,Imuris,2016,22.484848484848484,2.6666666666666665,2087.7272727272725,33
26035,Imuris,2017,19.073704703029474,2.66552819426893,2031.5755319512277,147
26035,Imuris,2019,19.688597754103082,2.8148574719262887,1800.866685862367,79
26035,Imuris,2020,13.587504349843405,2.02723001971929,1727.442872056606,127
26035,Imuris,2021,13.90503694895099,1.8849061411704748,1132.02136243948,74
26036,Magdalena,2013,25.918217396386265,3.1203140555159226,2575.7226944609024,290
26036,Magdalena,2014,26.432429972880986,3.3219154396374426,3968.778770726025,135
26036,Magdalena,2015,20.022818203409027,2.5959223194548477,3130.169647587555,144
26036,Magdalena,2016,25.51444073348945,3.311553866431213,2830.7858267111983,217
26036,Magdalena,2017,29.29005553095084,3.480166706412746,3483.5950669437534,222
26036,Magdalena,2021,27.69687626562847,3.1944005330337197,3598.9196007472924,169
26036,Magdalena,2022,30.68421052631579,3.473684210526316,3434.184210526316,38
26037,Mazatán,2018,31.21176174839348,4.078385469857181,4204.4556067057365,172
26037,Mazatán,2019,27.558139534883722,3.627906976744186,3132.7906976744184,43
26037,Mazatán,2022,27.128205128205128,3.6923076923076925,2886.153846153846,39
26038,Moctezuma,2018,23.251528433042072,3.152229139331677,4396.457134083359,79
26038,Moctezuma,2019,23.068164972469294,2.991899618805591,3504.663013553579,165
26038,Moctezuma,2020,23.349989948343225,3.0788399514024247,3742.0046150215453,193
26038,Moctezuma,2021,21.0595670589811,2.6347960020759738,3203.6978788233914,104
26038,Moctezuma,2022,24.93857307891487,3.1690037047364856,3087.819404055292,109
26039,Naco,2016,23.60220031261272,2.4812432367440183,2644.1622580257304,79
26039,Naco,2017,19.332334697666568,2.1486771593738134,2214.297227731128,104
26039,Naco,2022,27.53723874820303,3.6501161119097643,4600.965802278005,84
26041,Nacozari de García,2013,26.653786762906233,2.9241846411263945,4560.577646550995,475
26041,Nacozari de García,2014,26.246495807515107,3.1155982742156954,4334.116783182664,269
