,Year,amount_executed,Municipality,number_crimes
331,2019-01-01,5882068944.27,Nácori Chico,8
332,2019-01-01,5882068944.27,Nacozari de García,9
333,2019-01-01,5882068944.27,Navojoa,799
334,2019-01-01,5882068944.27,Nogales,1819
335,2019-01-01,5882068944.27,Ónavas,8
336,2019-01-01,5882068944.27,Opodepe,9
337,2019-01-01,5882068944.27,Oquitoa,0
338,2019-01-01,5882068944.27,Pitiquito,30
339,2019-01-01,5882068944.27,Puerto Peñasco,601
340,2019-01-01,5882068944.27,Quiriego,8
341,2019-01-01,5882068944.27,Rayón,12
342,2019-01-01,5882068944.27,Rosario,22
343,2019-01-01,5882068944.27,Sahuaripa,25
344,2019-01-01,5882068944.27,San Felipe de Jesús,0
345,2019-01-01,5882068944.27,San Javier,1
346,2019-01-01,5882068944.27,San Luis Río Colorado,1066
347,2019-01-01,5882068944.27,San Miguel de Horcasitas,30
348,2019-01-01,5882068944.27,San Pedro de la Cueva,3
349,2019-01-01,5882068944.27,Santa Ana,104
350,2019-01-01,5882068944.27,Santa Cruz,7
351,2019-01-01,5882068944.27,Sáric,2
352,2019-01-01,5882068944.27,Soyopa,7
353,2019-01-01,5882068944.27,Suaqui Grande,3
354,2019-01-01,5882068944.27,Tepache,0
355,2019-01-01,5882068944.27,Trincheras,13
356,2019-01-01,5882068944.27,Tubutama,0
357,2019-01-01,5882068944.27,Ures,50
358,2019-01-01,5882068944.27,Villa Hidalgo,0
359,2019-01-01,5882068944.27,Villa Pesqueira,10
360,2019-01-01,5882068944.27,Yécora,23
361,2019-01-01,5882068944.27,General Plutarco Elías Calles,42
362,2019-01-01,5882068944.27,Benito Juárez,139
363,2019-01-01,5882068944.27,San Ignacio Río Muerto,57
364,2019-01-01,5882068944.27,No Informado,11
365,2020-01-01,6414849338.7,Aconchi,8
366,2020-01-01,6414849338.7,Agua Prieta,1334
367,2020-01-01,6414849338.7,Álamos,91
368,2020-01-01,6414849338.7,Altar,39
369,2020-01-01,6414849338.7,Arivechi,6
370,2020-01-01,6414849338.7,Arizpe,2
371,2020-01-01,6414849338.7,Atil,0
372,2020-01-01,6414849338.7,Bacadéhuachi,4
373,2020-01-01,6414849338.7,Bacanora,2
374,2020-01-01,6414849338.7,Bacerac,8
375,2020-01-01,6414849338.7,Bacoachi,5
376,2020-01-01,6414849338.7,Bácum,162
377,2020-01-01,6414849338.7,Banámichi,6
378,2020-01-01,6414849338.7,Baviácora,12
379,2020-01-01,6414849338.7,Bavispe,5
380,2020-01-01,6414849338.7,Benjamín Hill,63
381,2020-01-01,6414849338.7,Caborca,1142
382,2020-01-01,6414849338.7,Cajeme,6180
383,2020-01-01,6414849338.7,Cananea,340
384,2020-01-01,6414849338.7,Carbó,18
385,2020-01-01,6414849338.7,La Colorada,10
386,2020-01-01,6414849338.7,Cucurpe,15
387,2020-01-01,6414849338.7,Cumpas,54
388,2020-01-01,6414849338.7,Divisaderos,1
389,2020-01-01,6414849338.7,Empalme,339
390,2020-01-01,6414849338.7,Etchojoa,562
391,2020-01-01,6414849338.7,Fronteras,89
392,2020-01-01,6414849338.7,Granados,0
393,2020-01-01,6414849338.7,Guaymas,1027
394,2020-01-01,6414849338.7,Hermosillo,11615
395,2020-01-01,6414849338.7,Huachinera,4
396,2020-01-01,6414849338.7,Huásabas,2
397,2020-01-01,6414849338.7,Huatabampo,462
398,2020-01-01,6414849338.7,Huépac,2
399,2020-01-01,6414849338.7,Imuris,103
400,2020-01-01,6414849338.7,Magdalena,305
401,2020-01-01,6414849338.7,Mazatán,5
402,2020-01-01,6414849338.7,Moctezuma,29
403,2020-01-01,6414849338.7,Naco,42
404,2020-01-01,6414849338.7,Nácori Chico,1
405,2020-01-01,6414849338.7,Nacozari de García,102
406,2020-01-01,6414849338.7,Navojoa,1294
407,2020-01-01,6414849338.7,Nogales,1853
408,2020-01-01,6414849338.7,Ónavas,1
409,2020-01-01,6414849338.7,Opodepe,16
410,2020-01-01,6414849338.7,Oquitoa,3
411,2020-01-01,6414849338.7,Pitiquito,68
412,2020-01-01,6414849338.7,Puerto Peñasco,590
413,2020-01-01,6414849338.7,Quiriego,9
414,2020-01-01,6414849338.7,Rayón,3
415,2020-01-01,6414849338.7,Rosario,17
416,2020-01-01,6414849338.7,Sahuaripa,37
417,2020-01-01,6414849338.7,San Felipe de Jesús,0
418,2020-01-01,6414849338.7,San Javier,2
419,2020-01-01,6414849338.7,San Luis Río Colorado,1712
420,2020-01-01,6414849338.7,San Miguel de Horcasitas,31
421,2020-01-01,6414849338.7,San Pedro de la Cueva,9
422,2020-01-01,6414849338.7,Santa Ana,133
423,2020-01-01,6414849338.7,Santa Cruz,2
424,2020-01-01,6414849338.7,Sáric,4
425,2020-01-01,6414849338.7,Soyopa,9
426,2020-01-01,6414849338.7,Suaqui Grande,3
427,2020-01-01,6414849338.7,Tepache,1
428,2020-01-01,6414849338.7,Trincheras,9
429,2020-01-01,6414849338.7,Tubutama,8
430,2020-01-01,6414849338.7,Ures,46
431,2020-01-01,6414849338.7,Villa Hidalgo,10
432,2020-01-01,6414849338.7,Villa Pesqueira,3
433,2020-01-01,6414849338.7,Yécora,59
434,2020-01-01,6414849338.7,General Plutarco Elías Calles,83
435,2020-01-01,6414849338.7,Benito Juárez,828
436,2020-01-01,6414849338.7,San Ignacio Río Muerto,42
437,2020-01-01,6414849338.7,No Informado,9
438,2021-01-01,6779900503.0,Aconchi,52
